host_contact_id,host_id,host_location_id,contact_type,contact_label,contact_value,is_primary,is_public,source_url,status,notes
contact_rise_general_email,host_rise_climbing_albury,loc_rise_albury_main,general_email,General enquiries,admin@riseclimbing.com.au,Yes,Yes,https://riseclimbing.com.au/,verified,Primary public email on the official site.
contact_rise_phone,host_rise_climbing_albury,loc_rise_albury_main,phone,Front desk,02 6062 3153,Yes,Yes,https://riseclimbing.com.au/,verified,Primary public phone on the official site.
contact_penrith_general_email,host_climbing_centre_penrith,loc_climbing_centre_penrith_main,general_email,General enquiries,info@climbingcentre.com.au,Yes,Yes,https://climbingcentre.com.au/,verified,Primary public email on the official site.
contact_penrith_phone,host_climbing_centre_penrith,loc_climbing_centre_penrith_main,phone,Front desk,02 4731 1130,Yes,Yes,https://climbingcentre.com.au/,verified,Primary public phone on the official site.
contact_tannum_email,host_tannum_fitness,loc_tannum_fitness_main,general_email,General enquiries,tisc@bigpond.net.au,Yes,Yes,https://www.tannumfitness.com.au/,verified,Primary public email on the official site.
contact_tannum_phone,host_tannum_fitness,loc_tannum_fitness_main,phone,Reception,07 4973 7082,Yes,Yes,https://www.tannumfitness.com.au/,verified,Primary public phone on the official site.
contact_beta_one_email,host_beta_one,loc_beta_one_main,general_email,General enquiries,info@betaone.com.au,Yes,Yes,https://betaone.com.au/pages/about-us,verified,Primary public email on the official site.
contact_beta_one_phone,host_beta_one,loc_beta_one_main,phone,Front desk,02 9743 7681,Yes,Yes,https://betaone.com.au/pages/about-us,verified,Primary public phone on the official site.
contact_nest_email,host_the_nest_nowra,loc_nest_nowra_main,general_email,General enquiries,nowra@climbthenest.com.au,Yes,Yes,https://www.climbthenest.com.au/contact,verified,Primary public email on the official site.
contact_rock_geelong_email,host_the_rock_geelong,loc_rock_geelong_main,general_email,Bookings and enquiries,bookings@rockadventures.com.au,Yes,Yes,https://rockadventures.com.au/contact-us/,verified,Public booking email on the official contact page.
contact_rock_geelong_phone,host_the_rock_geelong,loc_rock_geelong_main,phone,Front desk,03 5221 3101,Yes,Yes,https://rockadventures.com.au/contact-us/,verified,Primary public phone on the official contact page.
contact_industry_email,host_industry_boulders,loc_industry_geelong_main,general_email,General enquiries,info@industryboulders.com.au,Yes,Yes,https://www.industryboulders.com.au/index.html,verified,Primary public email on the official site.
contact_industry_phone,host_industry_boulders,loc_industry_geelong_main,phone,Front desk,03 5202 5944,Yes,Yes,https://www.industryboulders.com.au/index.html,verified,Primary public phone on the official site.
contact_friction_email,host_friction_bouldering,loc_friction_ballarat_main,general_email,General enquiries,info@frictionbouldering.com,Yes,Yes,https://frictionbouldering.com/,verified,Primary public email on the official site.
contact_friction_phone,host_friction_bouldering,loc_friction_ballarat_main,phone,Front desk,03 4368 7067,Yes,Yes,https://frictionbouldering.com/contact-us,verified,Primary public phone on the official site.
contact_ascend_phone,host_ascend_bouldering,loc_ascend_coffs_main,phone,Front desk,0451 934 203,Yes,Yes,https://ascendbouldering.com.au/our-location/,verified,Primary public phone on the official site.
contact_ascend_form,host_ascend_bouldering,loc_ascend_coffs_main,contact_form,General enquiry form,https://ascendbouldering.com.au/our-location/,Yes,Yes,https://ascendbouldering.com.au/our-location/,verified,Official site exposes contact via on-page enquiry form rather than a direct public email.
contact_gecko_phone,host_gecko_climb,loc_gecko_darwin_main,phone,Front desk,0480 735 283,Yes,Yes,https://geckoclimb.com.au/contact-us/,verified,Primary public phone on the official contact page.
contact_gecko_form,host_gecko_climb,loc_gecko_darwin_main,contact_form,General enquiry form,https://geckoclimb.com.au/contact-us/,Yes,Yes,https://geckoclimb.com.au/contact-us/,verified,Official site exposes contact via on-page form.
contact_vrc_email,host_vertical_reality_climbing,loc_vrc_holden_hill_main,general_email,General enquiries,info@verticalrealityclimbing.com,Yes,Yes,https://www.verticalrealityclimbing.com/,verified,Primary public email on the official site.
contact_vrc_phone,host_vertical_reality_climbing,loc_vrc_holden_hill_main,phone,Front desk,08 8266 4090,Yes,Yes,https://www.verticalrealityclimbing.com/,verified,Primary public phone on the official site.
contact_mandurah_phone,host_mandurah_irc,loc_mandurah_main,phone,Reception,08 9581 7465,Yes,Yes,https://www.mandurahrockclimbing.com/holiday-program-form,verified,Phone is repeated across official forms and payment instructions.
contact_mandurah_email,host_mandurah_irc,loc_mandurah_main,general_email,General enquiries,info@mandurahrockclimbing.com,Yes,Yes,https://visitmandurah.com/operator/mandurah-indoor-rock-climbing-centre/,needs_review,Public tourism listing gives a working contact email but the official site surfaces forms more clearly than an inbox.
contact_hangdog_phone,host_hangdog,loc_hangdog_main,phone,Front desk,02 4225 8369,Yes,Yes,https://hangdog.com.au/contact-us/,verified,Primary public phone on the official site.
