monitor_rank,monitor_score,host_id,host_name,host_type,state_scope,city_or_region,priority_tier,comp_likelihood,influence_score,channel_type,channel_value,url,purpose,update_frequency_guess,recommended_cadence,access_method,channel_priority,channel_status,reason,next_action
1,110,host_portside_osborne_park,Portside Boulders Osborne Park,gym_operator,WA,Perth,A,High,5,website_events,Portside Osborne Park venue page,https://portsideboulders.com.au/locations/osborne-park/,West Coast Blocs and class timetable,high,twice weekly during launch,public web,A,verified,A-tier host; high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
2,110,host_sicg_st_peters,Sydney Indoor Climbing Gym St Peters,gym_operator,NSW,Sydney,A,High,5,website_events,SICG St Peters site,https://indoorclimbing.com.au/stpeters/,venue updates and climbing community info,high,twice weekly during launch,public web,A,verified,A-tier host; high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
3,107,host_9_degrees_alexandria,9 Degrees Alexandria,gym_operator,NSW,Sydney,A,High,4,website_events,9 Degrees locations page,https://www.9degrees.com.au/locations,venue updates and reset cadence,high,twice weekly during launch,public web,A,verified,A-tier host; high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
4,107,host_9_degrees_enoggera,9 Degrees Enoggera,gym_operator,QLD,Brisbane,A,High,4,website_events,9 Degrees Brisbane events page,https://www.9degrees.com.au/brisbaneevents,Brisbane comps and community events,high,twice weekly during launch,public web,A,verified,A-tier host; high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
5,107,host_9_degrees_morningside,9 Degrees Morningside,gym_operator,QLD,Brisbane,A,High,4,website_events,9 Degrees Brisbane events page,https://www.9degrees.com.au/brisbaneevents,Brisbane comps and community events,high,twice weekly during launch,public web,A,verified,A-tier host; high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
6,107,host_9_degrees_waterloo,9 Degrees Waterloo,gym_operator,NSW,Sydney,A,High,4,website_events,9 Degrees locations page,https://www.9degrees.com.au/locations,venue updates and reset cadence,high,twice weekly during launch,public web,A,verified,A-tier host; high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
7,107,host_beyond_bouldering_kent_town,Beyond Bouldering Kent Town,gym_operator,SA,Adelaide,A,High,4,website_events,Beyond Kent Town venue page,https://beyondbouldering.com.au/about/kenttown/,venue updates and reset cadence,high,twice weekly during launch,public web,A,verified,A-tier host; high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
8,107,host_beyond_bouldering_thebarton,Beyond Bouldering Thebarton,gym_operator,SA,Adelaide,A,High,4,website_events,Beyond official site,https://beyondbouldering.com.au/about/,operator news and event recaps,high,twice weekly during launch,public web,A,verified,A-tier host; high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
9,107,host_northside_boulders_brunswick,Northside Boulders Brunswick,gym_operator,VIC,Melbourne,A,High,4,website_events,Northside official site,https://northsideboulders.com/,calendar and venue updates,high,twice weekly during launch,public web,A,verified,A-tier host; high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
10,95,host_cutloose,Cutloose Indoor Climbing,gym_operator,QLD,Upper Coomera/Gold Coast,B,High,4,website_events,Cutloose official site,https://cutlooseindoorclimbing.com.au/,member comps and gym updates,high,twice weekly during launch,public web,A,verified,high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
11,95,host_cutloose,Cutloose Indoor Climbing,gym_operator,QLD,Upper Coomera/Gold Coast,B,High,4,instagram,cutlooseindoorclimbing,https://www.instagram.com/cutlooseindoorclimbing/,gym updates guest setters and promo posts,high,twice weekly during launch,psf_climb login,A,verified,high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
12,95,host_elevate_villawood,Elevate Climbing Gym,gym_operator,NSW,Sydney,B,High,4,website_events,Elevate official site,https://www.elevateclimbing.com.au/,community nights and registration posts,high,twice weekly during launch,public web,A,verified,high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
13,95,host_elevate_villawood,Elevate Climbing Gym,gym_operator,NSW,Sydney,B,High,4,website_events,Elevate about page,https://www.elevateclimbing.com.au/about/,workshops social nights and founder context,high,twice weekly during launch,public web,A,verified,high event likelihood; strong scene influence; A-priority update channel,"Check for upcoming events, deadlines, recaps, and sponsor clues."
