update_channel_id,host_id,channel_type,channel_value,url,purpose,update_frequency_guess,access_method,priority,status,notes
upd_rise_site,host_rise_climbing_albury,website_events,Rise official site,https://riseclimbing.com.au/,event announcements,medium,public web,A,verified,Official site carries current sessions and booking paths.
upd_rise_instagram,host_rise_climbing_albury,instagram,riseclimbingalbury,https://www.instagram.com/riseclimbingalbury/,community updates and event promos,high,psf_climb login,A,needs_review,Handle should be checked in-app before using as a primary monitoring path.
upd_penrith_site,host_climbing_centre_penrith,website_events,The Climbing Centre official site,https://climbingcentre.com.au/,classes and holiday updates,medium,public web,B,verified,Official site includes classes and party booking information.
upd_penrith_facebook,host_climbing_centre_penrith,facebook,The Climbing Centre Penrith,https://www.facebook.com/TheClimbingCentrePenrith/,community posts and event reminders,medium,public web,B,verified,Useful secondary path for venue-specific updates.
upd_tannum_site,host_tannum_fitness,website_events,Tannum Fitness official site,https://www.tannumfitness.com.au/,program updates and venue activity info,low,public web,C,verified,Climbing is part of a wider leisure venue so event signal may be lighter.
upd_beta_one_site,host_beta_one,website_events,Beta One official site,https://betaone.com.au/,pricing and gym updates,medium,public web,B,verified,Official site is the clearest current source for venue details and first-timer information.
upd_beta_one_instagram,host_beta_one,instagram,betaonebouldering,https://www.instagram.com/betaonebouldering/,community updates and promo posts,high,psf_climb login,B,needs_review,Handle should be confirmed in-app before relying on it for monitoring.
upd_nest_site,host_the_nest_nowra,website_events,The Nest official site,https://www.climbthenest.com.au/,event announcements and community sessions,high,public web,A,verified,Official site has an unusually rich upcoming-events section for a regional gym.
upd_nest_mailing_list,host_the_nest_nowra,mailing_list,The Nest email signup,https://www.climbthenest.com.au/contact,project news and event updates,medium,public web,B,verified,Official contact page actively invites email signup for updates and promotions.
upd_rock_geelong_site,host_the_rock_geelong,website_events,The Rock official site,https://rockadventures.com.au/,community events and booking updates,medium,public web,B,verified,Official site carries current hours and operational updates and is the best venue monitoring path.
upd_industry_site,host_industry_boulders,website_events,Industry Boulders official site,https://www.industryboulders.com.au/index.html,sessions events and membership updates,medium,public web,B,verified,Official site includes a session and events calendar link.
upd_industry_instagram,host_industry_boulders,instagram,industry.boulders,https://www.instagram.com/industry.boulders/,route resets and community updates,high,psf_climb login,B,verified,Official site explicitly points visitors to the Instagram account.
upd_friction_site,host_friction_bouldering,website_events,Friction official site,https://frictionbouldering.com/,classes coaching and party updates,medium,public web,B,verified,Official site is the best current source for classes coaching and venue operations.
upd_friction_coaching,host_friction_bouldering,website_events,Friction coaching page,https://frictionbouldering.com/coaching,beginner classes and coaching updates,medium,public web,B,verified,Useful sub-page for monitoring beginner programming and skill-session activity.
upd_ascend_site,host_ascend_bouldering,website_events,Ascend official site,https://ascendbouldering.com.au/,venue updates and first-timer info,medium,public web,B,verified,Official site is the cleanest source for location and operating details.
