review_rank,candidate_id,host_name,candidate_title,validation_bucket,overall_validation_score,duplicate_group_id,duplicate_group_size,suggested_review_status,source_url,date_clues,location_clues,event_type_clues,raw_text_excerpt,validation_reasons,existing_review_decision,review_instruction
1,cand_aff1ff235f1045f2,9 Degrees Enoggera,GRIP & RIP ‘25,strong_candidate,88,dup_50d24534a49f,1,needs_review,https://www.9degrees.com.au/brisbaneevents,20 September,72 Pickering Street,competition; comp; qualifier; qualifiers; social; grip; rip,"Brisbane Events | GRIP & RIP ‘25 | 72 Pickering Street Enoggera | 20 September 2025 | ARC'TERYX presents... Grip & Rip '25! Our annual social climbing comp is back and it's going to be our biggest one yet! With even more climbing categories this year, Grip & Rip '25 will be a night to remember, bringing our incredible community together through friendly competition. | QUALIFIERS ARE NOW OPEN! | Download TopLogger:",has core fields; strong source evidence,,"Check source evidence, then fill event fields and set review_decision to approved, rejected, duplicate, or needs_more_info."
2,cand_8bb9e1c6e15f3848,9 Degrees Enoggera,QUALIFIERS ARE NOW OPEN!,strong_candidate,88,dup_c4f34b4f2492,1,needs_review,https://www.9degrees.com.au/brisbaneevents,20 September,72 Pickering Street,competition; comp; qualifier; qualifiers; social; grip; rip; round,"72 Pickering Street Enoggera | 20 September 2025 | ARC'TERYX presents... Grip & Rip '25! Our annual social climbing comp is back and it's going to be our biggest one yet! With even more climbing categories this year, Grip & Rip '25 will be a night to remember, bringing our incredible community together through friendly competition. | QUALIFIERS ARE NOW OPEN! | Download TopLogger: | To enter the qualifying round, you'll need to download the TopLogger app and create an account. Once you have an account, make 9 Degrees Brisbane your home gym. | In the competitions tab of the app, select the category that you want to compete in. Select the gym you're climbing at via the drop-down menu, then click the option that says 'tick boulders' and the selected gym map will appear. From there, you'll be able to see all the climbs that are part of the competition.",has core fields; strong source evidence,,"Check source evidence, then fill event fields and set review_decision to approved, rejected, duplicate, or needs_more_info."
3,cand_b961584371298b73,9 Degrees Morningside,GRIP & RIP ‘25,strong_candidate,88,dup_fd46d725fdad,1,needs_review,https://www.9degrees.com.au/brisbaneevents,20 September,72 Pickering Street,competition; comp; qualifier; qualifiers; social; grip; rip,"Brisbane Events | GRIP & RIP ‘25 | 72 Pickering Street Enoggera | 20 September 2025 | ARC'TERYX presents... Grip & Rip '25! Our annual social climbing comp is back and it's going to be our biggest one yet! With even more climbing categories this year, Grip & Rip '25 will be a night to remember, bringing our incredible community together through friendly competition. | QUALIFIERS ARE NOW OPEN! | Download TopLogger:",has core fields; strong source evidence,,"Check source evidence, then fill event fields and set review_decision to approved, rejected, duplicate, or needs_more_info."
4,cand_a7ca9261741eeb63,9 Degrees Morningside,QUALIFIERS ARE NOW OPEN!,strong_candidate,88,dup_da4a33c5d27c,1,needs_review,https://www.9degrees.com.au/brisbaneevents,20 September,72 Pickering Street,competition; comp; qualifier; qualifiers; social; grip; rip; round,"72 Pickering Street Enoggera | 20 September 2025 | ARC'TERYX presents... Grip & Rip '25! Our annual social climbing comp is back and it's going to be our biggest one yet! With even more climbing categories this year, Grip & Rip '25 will be a night to remember, bringing our incredible community together through friendly competition. | QUALIFIERS ARE NOW OPEN! | Download TopLogger: | To enter the qualifying round, you'll need to download the TopLogger app and create an account. Once you have an account, make 9 Degrees Brisbane your home gym. | In the competitions tab of the app, select the category that you want to compete in. Select the gym you're climbing at via the drop-down menu, then click the option that says 'tick boulders' and the selected gym map will appear. From there, you'll be able to see all the climbs that are part of the competition.",has core fields; strong source evidence,,"Check source evidence, then fill event fields and set review_decision to approved, rejected, duplicate, or needs_more_info."
5,cand_00948edc9143923a,9 Degrees Enoggera,Qualifiers are open from 4pm Thursday 4th September to 10pm Sunday 14th September.,likely_duplicate_group,68,dup_8e085a2fd7f5,3,duplicate_review,https://www.9degrees.com.au/brisbaneevents,Thursday 4th September; Sunday 14th September; Thursday 04 Sep; Sunday 14 Sep; 4pm; 10pm,,competition; comp; finals; qualifier; qualifiers; grip; rip,"Only your top 10 climbs will be counted toward your final score, but make sure that you tick off every climb you complete. If it comes down to a tie-breaker, the person who has sent the most climbs will make it through to finals. | This year, Grip & Rip '25 qualifiers will be held across both our Enoggera & Morningside gyms. Your top 10 climbs can count from either or both of these gyms, and can be found under the same competition tab in TopLogger. | Qualifiers are open from 4pm Thursday 4th September to 10pm Sunday 14th September. | Competition Schedule | Qualifiers: 4pm Thursday 04 Sep - 10pm Sunday 14 Sep | This year, Grip & Rip '25 qualifiers will be held across both our Enoggera & Morningside gyms. All boulders will be graded and registered on the Top Logger app, where you'll have 11 days to log your climbs under the 'Grip & Rip '25' competition tab. Finalist for each category will be determined based on their Top Logger score after qualifiers finish.",has core fields; strong source evidence; possible duplicate group of 3; missing location clue,,Choose the best row in this duplicate group; mark the rest duplicate.
6,cand_c31193a05f36dc52,9 Degrees Enoggera,Qualifiers: 4pm Thursday 04 Sep - 10pm Sunday 14 Sep,likely_duplicate_group,68,dup_8e085a2fd7f5,3,duplicate_review,https://www.9degrees.com.au/brisbaneevents,Thursday 4th September; Sunday 14th September; Thursday 04 Sep; Sunday 14 Sep; Wednesday 17 September; 4pm; 10pm,,competition; comp; finals; qualifier; qualifiers; grip; rip,"Qualifiers are open from 4pm Thursday 4th September to 10pm Sunday 14th September. | Competition Schedule | Qualifiers: 4pm Thursday 04 Sep - 10pm Sunday 14 Sep | This year, Grip & Rip '25 qualifiers will be held across both our Enoggera & Morningside gyms. All boulders will be graded and registered on the Top Logger app, where you'll have 11 days to log your climbs under the 'Grip & Rip '25' competition tab. Finalist for each category will be determined based on their Top Logger score after qualifiers finish. | Semi Finals: Wednesday 17 September | Once qualifiers have concluded, the top 18 male and female qualifiers from the A’s and B’s categories will become our semi-finalists. There will be no semi-finals for the C's categories, the top 6 male and female competitors in this category will go straight to the finals. The semi-finalists for the Masters and Inclusive categories will be determined closer to the the date, and will depend on how many participants enter each of these categories during the qualifying stage. There will be no finals for the D’s category, but winners will be announced and prizes awarded for the top 3 after qualifiers!",has core fields; strong source evidence; possible duplicate group of 3; missing location clue,,Choose the best row in this duplicate group; mark the rest duplicate.
7,cand_94bc0f4d80b69939,9 Degrees Morningside,Qualifiers are open from 4pm Thursday 4th September to 10pm Sunday 14th September.,likely_duplicate_group,68,dup_98680f5662ec,3,duplicate_review,https://www.9degrees.com.au/brisbaneevents,Thursday 4th September; Sunday 14th September; Thursday 04 Sep; Sunday 14 Sep; 4pm; 10pm,,competition; comp; finals; qualifier; qualifiers; grip; rip,"Only your top 10 climbs will be counted toward your final score, but make sure that you tick off every climb you complete. If it comes down to a tie-breaker, the person who has sent the most climbs will make it through to finals. | This year, Grip & Rip '25 qualifiers will be held across both our Enoggera & Morningside gyms. Your top 10 climbs can count from either or both of these gyms, and can be found under the same competition tab in TopLogger. | Qualifiers are open from 4pm Thursday 4th September to 10pm Sunday 14th September. | Competition Schedule | Qualifiers: 4pm Thursday 04 Sep - 10pm Sunday 14 Sep | This year, Grip & Rip '25 qualifiers will be held across both our Enoggera & Morningside gyms. All boulders will be graded and registered on the Top Logger app, where you'll have 11 days to log your climbs under the 'Grip & Rip '25' competition tab. Finalist for each category will be determined based on their Top Logger score after qualifiers finish.",has core fields; strong source evidence; possible duplicate group of 3; missing location clue,,Choose the best row in this duplicate group; mark the rest duplicate.
8,cand_3f9dacdce4bd6370,9 Degrees Morningside,Qualifiers: 4pm Thursday 04 Sep - 10pm Sunday 14 Sep,likely_duplicate_group,68,dup_98680f5662ec,3,duplicate_review,https://www.9degrees.com.au/brisbaneevents,Thursday 4th September; Sunday 14th September; Thursday 04 Sep; Sunday 14 Sep; Wednesday 17 September; 4pm; 10pm,,competition; comp; finals; qualifier; qualifiers; grip; rip,"Qualifiers are open from 4pm Thursday 4th September to 10pm Sunday 14th September. | Competition Schedule | Qualifiers: 4pm Thursday 04 Sep - 10pm Sunday 14 Sep | This year, Grip & Rip '25 qualifiers will be held across both our Enoggera & Morningside gyms. All boulders will be graded and registered on the Top Logger app, where you'll have 11 days to log your climbs under the 'Grip & Rip '25' competition tab. Finalist for each category will be determined based on their Top Logger score after qualifiers finish. | Semi Finals: Wednesday 17 September | Once qualifiers have concluded, the top 18 male and female qualifiers from the A’s and B’s categories will become our semi-finalists. There will be no semi-finals for the C's categories, the top 6 male and female competitors in this category will go straight to the finals. The semi-finalists for the Masters and Inclusive categories will be determined closer to the the date, and will depend on how many participants enter each of these categories during the qualifying stage. There will be no finals for the D’s category, but winners will be announced and prizes awarded for the top 3 after qualifiers!",has core fields; strong source evidence; possible duplicate group of 3; missing location clue,,Choose the best row in this duplicate group; mark the rest duplicate.
9,cand_0643ee2801f1d38e,9 Degrees Enoggera,You will have 11 days to log your climbs under the 'Grip & Rip '25' competition tab.,likely_duplicate_group,59,dup_8e085a2fd7f5,3,duplicate_review,https://www.9degrees.com.au/brisbaneevents,Thursday 4th September; Sunday 14th September; 4pm; 10pm,,competition; comp; finals; qualifier; qualifiers; grip; rip,"You will have 11 days to log your climbs under the 'Grip & Rip '25' competition tab. | Once qualifiers open, you can start logging your sends! Each time you complete a climb, make sure to tick it off under the competition tab in TopLogger. If you've sent a climb already, before qualifiers open, you will need to re-send it after qualifiers open in order to tick it off. | Only your top 10 climbs will be counted toward your final score, but make sure that you tick off every climb you complete. If it comes down to a tie-breaker, the person who has sent the most climbs will make it through to finals. | This year, Grip & Rip '25 qualifiers will be held across both our Enoggera & Morningside gyms. Your top 10 climbs can count from either or both of these gyms, and can be found under the same competition tab in TopLogger. | Qualifiers are open from 4pm Thursday 4th September to 10pm Sunday 14th September. | Competition Schedule",has core fields; strong source evidence; possible duplicate group of 3; missing location clue,,Choose the best row in this duplicate group; mark the rest duplicate.
10,cand_6cacd375196566ce,9 Degrees Morningside,You will have 11 days to log your climbs under the 'Grip & Rip '25' competition tab.,likely_duplicate_group,59,dup_98680f5662ec,3,duplicate_review,https://www.9degrees.com.au/brisbaneevents,Thursday 4th September; Sunday 14th September; 4pm; 10pm,,competition; comp; finals; qualifier; qualifiers; grip; rip,"You will have 11 days to log your climbs under the 'Grip & Rip '25' competition tab. | Once qualifiers open, you can start logging your sends! Each time you complete a climb, make sure to tick it off under the competition tab in TopLogger. If you've sent a climb already, before qualifiers open, you will need to re-send it after qualifiers open in order to tick it off. | Only your top 10 climbs will be counted toward your final score, but make sure that you tick off every climb you complete. If it comes down to a tie-breaker, the person who has sent the most climbs will make it through to finals. | This year, Grip & Rip '25 qualifiers will be held across both our Enoggera & Morningside gyms. Your top 10 climbs can count from either or both of these gyms, and can be found under the same competition tab in TopLogger. | Qualifiers are open from 4pm Thursday 4th September to 10pm Sunday 14th September. | Competition Schedule",has core fields; strong source evidence; possible duplicate group of 3; missing location clue,,Choose the best row in this duplicate group; mark the rest duplicate.
