sponsor_entity_id,normalized_name,parent_company,local_distributor_or_rep,company_type,sponsor_category,geography_scope,climbing_adjacency,website,contact_email,contact_url,states_seen,event_count,last_seen_date,priority_tier,outreach_status,notes
sponsor_paddy_pallin,Paddy Pallin,,,retailer,outdoor_retail,Australia,High,https://www.paddypallin.com.au/,,,QLD|WA,5,2026-04-27,A,not_started,Strongest repeat commercial sponsor in the current seed set across WA state titles plus user-supplied Urban Climb Scarpa Boulderfest social evidence.
sponsor_happy_biner,Happy Biner,,,retailer,climbing_retail,Australia,High,https://happybiner.com.au/,,,WA,3,2025-08-10,A,not_started,Repeat climbing-native retailer across multiple recent SCWA events.
sponsor_black_diamond,Black Diamond,,Australian distributor needed,brand,climbing_gear,Global,High,https://blackdiamondequipment.com.au/,,,QLD|WA,2,2026-04-27,A,not_started,Appears as 2023 WA title sponsor and also in user-supplied Urban Climb Scarpa Boulderfest social evidence.
sponsor_blue_moose_photos,Blue Moose Photos,,,service_provider,photography,WA,Medium,https://www.bluemoosephotos.com.au/,,,WA,2,2025-06-01,B,not_started,Repeat media/event coverage partner in WA competitions.
sponsor_brownes_dairy,Browne's Dairy,,,brand,dairy,WA,Low,https://brownesdairy.com.au/,,,WA,2,2024-07-28,C,not_started,Repeat WA food and beverage sponsor with local event support value.
sponsor_arcteryx,Arc'teryx,,,brand,apparel,Global with AU presence,High,https://arcteryx.com.au/,,,QLD,1,2025-09-20,A,not_started,Premium climbing and outdoor brand with direct scene credibility.
sponsor_k2_base_camp,K2 Base Camp,,,retailer,outdoor_retail,Australia,Medium,https://k2.com.au/,info@k2.com.au,https://k2.com.au/pages/contact,QLD,1,2025-09-20,A,not_started,Australian outdoor retailer with event-prize and voucher potential.
sponsor_awesome_woodys,Awesome Woodys,,,brand,training_products,Australia,High,https://awesomewoodys.com/,info@awesomewoodys.com,https://awesomewoodys.com/pages/contact,QLD,1,2025-09-20,A,not_started,Climbing-native Australian training brand and strong newsletter-fit prospect.
sponsor_sea_legs_brewing_co,Sea Legs Brewing Co.,,,brand,beverage,QLD,Low,https://www.sealegsbrewing.com.au/,,,QLD,2,2026-04-27,C,not_started,Seen on both 9 Degrees Grip and Rip 2025 and user-supplied Urban Climb Scarpa Boulderfest social evidence.
sponsor_rubber_six,Rubber Six,,,service_provider,shoe_resole_service,Australia,High,https://www.rubbersix.com/,,,QLD,1,2025-09-20,A,not_started,Niche climbing-service sponsor with very strong relevance for experienced climbers.
sponsor_szent,Szent,,,brand,food_and_beverage,Australia,Low,,,,QLD,1,2025-09-20,C,researching,Needs brand/category confirmation from a later direct-page or poster pass.
sponsor_xtm_performance,XTM Performance,,,brand,apparel,Australia,Medium,https://xtm.com.au/,info@xtm.com.au,https://xtm.com.au/pages/contact-us,QLD,1,2025-09-20,B,not_started,Outdoor and winter apparel brand with broader lifestyle fit.
sponsor_stax_climbing,Stax Climbing,,,brand,wall_and_hold_supplier,Australia,High,https://staxclimbing.com.au/,james@staxclimbing.com.au,https://staxclimbing.com.au/pages/contact,QLD,1,2025-09-20,A,not_started,B2B climbing-industry brand with relevance for setters gyms and performance readers.
sponsor_pat_and_sticks,Pat & Stick's,,,brand,ice_cream,Australia,Low,https://www.patandsticks.com.au/,,,QLD,1,2025-09-20,C,not_started,Good local event sponsor but weaker newsletter fit than climbing-native prospects.
sponsor_the_boulder_hub,The Boulder Hub,,,gym_operator,gym_host,WA,High,https://theboulderhub.com.au/,,,WA,1,2025-06-01,B,not_started,Host gym with direct audience overlap and possible media partnership interest.
sponsor_climbit_physio,Climbit Physio,,,service_provider,physio,WA,High,https://www.climbitphysio.com.au/,,,WA,1,2025-06-01,A,not_started,Injury-prevention and rehab content fit is very strong for a climbing newsletter.
sponsor_sport_climbing_australia,Sport Climbing Australia,,,association,association,National,High,https://sportclimbingaustralia.org.au/,,,WA,3,2025-08-10,C,not_started,Important ecosystem partner but not a classic paid sponsor target.
sponsor_dlgsc,"Department of Local Government, Sport and Cultural Industries",,,government,government,WA,Low,https://www.dlgsc.wa.gov.au/,,,WA,3,2025-08-10,C,not_started,Government support signal matters for event funding patterns but is low-fit for newsletter sponsorship.
