entity_id,entity_name,entity_type,subtype,geography_scope,website,contact_email,contact_phone,primary_source_url,status,notes
entity_climbing_anchors,Climbing Anchors,business,retailer_and_wholesale,NSW|VIC|National,https://www.climbinganchors.com.au/,sales@climbinganchors.com,"(02) 9052 6432",https://www.climbinganchors.com.au/wholesale,verified,Australian climbing specialist retailer with wholesale supply to stores and gyms.
entity_k2_base_camp,K2 Base Camp,business,retailer,QLD|National,https://k2.com.au/,info@k2.com.au,"07 3854 1340",https://k2.com.au/pages/contact-us,verified,Queensland outdoor and climbing retailer with strong climbing category coverage.
entity_wild_earth,Wild Earth,business,retailer,QLD|National,https://www.wildearth.com.au/,service@wildearth.com.au,"1800 841 847",https://www.wildearth.com.au/view/contact-us,verified,Large Australian outdoor retailer with broad climbing catalog and brand pages.
entity_mountain_equipment,Mountain Equipment,business,retailer,NSW|National,https://mountainequipment.com/,web@mountainequipment.com,"02 9264 5888",https://mountainequipment.com/pages/contact,verified,Sydney outdoor and climbing retailer with strong technical-climbing positioning.
entity_the_climbing_shop,The Climbing Shop,business,retailer,VIC|National,https://www.theclimbingshop.com.au/,,0409 978034,https://www.theclimbingshop.com.au/collections/butora,verified,Australian climbing specialist online retailer with strong brand-specific collection pages.
entity_pinnacle_sports,Pinnacle Sports,business,retailer_and_services,QLD|National,https://www.pinnaclesports.com.au/,online@pinnaclesports.com.au,"(07) 3368 3335",https://www.pinnaclesports.com.au/about-us/,verified,Brisbane specialist climbing retailer with additional courses walls inspections and guide services.
entity_sherpa,Sherpa,business,retailer,NSW|National,https://www.sherpa.com.au/,,,https://www.sherpa.com.au/climb/,verified,Outdoor retailer with a meaningful public climbing category and visible climbing-brand mix.
entity_wall_toys,Wall Toys,business,retailer,Australia,https://www.walltoys.com.au/,,1300 345 129,https://www.walltoys.com.au/,verified,Australian online rock climbing equipment store with strong specialist climbing product range and brand pages.
entity_bogong_equipment,Bogong Equipment,business,retailer_and_dropoff_partner,VIC|National,https://www.bogong.com.au/,bogong@bogong.com.au,"(03) 9600 0599",https://www.stickyrubberresoles.com/climbing-shoe-resoles-sticky-rubber-resoles-sydney-drop-off,verified,Longstanding Melbourne technical outdoor retailer with climbing coverage and Sticky Rubber drop-off partnership.
entity_friction_addiction,Friction Addiction,business,distributor_and_industry_supplier,TAS|National|NZ|Oceania,https://www.frictionaddiction.com.au/,sales@frictionaddiction.com.au,"+61 407 177 940",https://www.frictionaddiction.com.au/,verified,Climbing industry distributor and supplier for holds shoes and wall-related products.
entity_als_trade,ALS Trade,business,distributor,VIC|National,https://www.alstrade.com.au/,info@alstrade.com.au,"+61 2 807 305 80",https://www.alstrade.com.au/contact.html,verified,Australian distributor for European rope access and climbing brands.
entity_spelean,Spelean,business,distributor,NSW|National,https://petzl.com.au/,sales@spelean.com.au,"(02) 9966 9800",https://petzl.com.au/pages/contact,verified,Petzl products are distributed in Australia by Spelean according to the Petzl Australia contact page.
entity_southern_cross_equipment,Southern Cross Equipment,business,importer_and_distributor,NSW|National,https://www.southerncross.net.au/,sales@southerncross.net.au,"+61 (02) 9286 1507",https://www.southerncross.net.au/pages/brands-we-wholesale,verified,Southern Cross Equipment states it is a proud import and distributor of brands it wholesales including DMM and Edelrid.
entity_oasis_proshop,Oasis Climbing ProShop,business,gym_proshop,WA,https://www.oasisclimbing.com.au/proshop,,,https://www.oasisclimbing.com.au/proshop,verified,Gym-based pro shop useful for brand stocking cross-checks in WA.
entity_rubber_six,Rubber Six,business,shoe_resoler,Australia,https://www.rubbersix.com/,,,https://www.rubbersix.com/pages/contact,needs_review,Already in sponsor master as a sponsor prospect but contact path still needs direct extraction.
entity_rubber_styx,Rubber Styx,business,shoe_resoler,QLD,https://www.rubberstyx.com.au/,,,https://www.rubberstyx.com.au/,verified,Brisbane-only dedicated climbing shoe resole specialist.
entity_scotty_dog_resoles,Scotty Dog Resoles,business,shoe_resoler,QLD|National,https://www.scottydog.com.au/,scott@scottydog.com.au,"0458 742 006",https://www.scottydog.com.au/,verified,Established Australian climbing shoe resole and rebuild service.
entity_sticky_rubber_resoles,Sticky Rubber Resoles,business,shoe_resoler,NSW|National,https://www.stickyrubberresoles.com/,info@stickyrubberresoles.com,"+61 450 490 197",https://www.stickyrubberresoles.com/,verified,Official Scarpa resoler and La Sportiva authorised resoler in Australia.
