sponsor_entity_id,normalized_name,endemicity_tag,scene_spend_tag,adjacency_tag,notes
sponsor_paddy_pallin,Paddy Pallin,adjacent_but_core_outdoor,proven_scene_spender,retail_infrastructure,Outdoor retailer with repeated climbing-event support and strong scene relevance.
sponsor_happy_biner,Happy Biner,climbing_native,proven_scene_spender,retail_infrastructure,Climbing-specialist retailer with repeat comp sponsorship evidence.
sponsor_black_diamond,Black Diamond,climbing_native,proven_scene_spender,media_familiar,Core climbing brand with event and media-history evidence.
sponsor_blue_moose_photos,Blue Moose Photos,adjacent_scene_service,proven_scene_spender,local_scene_service,Climbing-adjacent media service seen repeatedly in event support.
sponsor_brownes_dairy,Browne's Dairy,adjacent_non_endemic,local_event_only,food_beverage,Local event-support brand rather than a category-native climber sponsor.
sponsor_arcteryx,Arc'teryx,adjacent_but_core_outdoor,media_familiar,apparel_outdoor,Mountain brand with climbing credibility and media-surface history.
sponsor_k2_base_camp,K2 Base Camp,adjacent_but_core_outdoor,proven_scene_spender,retail_infrastructure,Technical retailer with climbing relevance and event-support signal.
sponsor_awesome_woodys,Awesome Woodys,climbing_native,direct_climber_fit,training_performance,Australian climbing training brand.
sponsor_sea_legs_brewing_co,Sea Legs Brewing Co.,adjacent_non_endemic,proven_scene_spender,food_beverage,Local brewery with repeated gym-event support evidence.
sponsor_rubber_six,Rubber Six,climbing_native,direct_climber_fit,service_repair,Climbing shoe repair category with clear climber utility.
sponsor_szent,Szent,adjacent_non_endemic,local_event_only,food_beverage,Potential lifestyle partner but weak scene evidence so far.
sponsor_xtm_performance,XTM Performance,adjacent_but_core_outdoor,local_event_only,apparel_outdoor,Broader outdoor apparel with limited direct climbing signal.
sponsor_stax_climbing,Stax Climbing,climbing_native,industry_only,b2b_setting,Climbing-industry brand best tracked as setter and gym infrastructure.
sponsor_pat_and_sticks,Pat & Stick's,adjacent_non_endemic,local_event_only,food_beverage,Local event hospitality style support.
sponsor_the_boulder_hub,The Boulder Hub,scene_operator,local_scene_spender,gym_operator,Useful host and partner context rather than classic sponsor target.
sponsor_climbit_physio,Climbit Physio,adjacent_scene_service,proven_scene_spender,recovery_wellness,High-fit physio and recovery service for climbers.
sponsor_sport_climbing_australia,Sport Climbing Australia,scene_operator,ecosystem_only,governing_body,Important ecosystem institution rather than advertiser.
sponsor_dlgsc,"Department of Local Government, Sport and Cultural Industries",adjacent_non_endemic,ecosystem_only,government_funding,Funding context rather than sponsor lane.
sponsor_act_belong_commit,Act Belong Commit,adjacent_non_endemic,ecosystem_only,community_campaign,Campaign partner rather than commercial climber sponsor.
sponsor_alan_pryce_performance_coaching,Alan Pryce Performance Coaching,adjacent_scene_service,local_scene_spender,coaching_performance,Performance coaching with climber relevance.
sponsor_capture_with_fj_photography,Capture with FJ Photography,adjacent_scene_service,local_scene_spender,local_scene_service,Photography partner with event support evidence.
sponsor_the_biltong_box_mandurah,The Biltong Box Mandurah,adjacent_non_endemic,local_event_only,food_beverage,Local event support only.
sponsor_atrium_mandurah_hotel,Atrium Mandurah Hotel,adjacent_non_endemic,local_event_only,travel_hospitality,Hospitality tie-in around destination events.
sponsor_mandurah_dolphin_cruises,Mandurah Dolphin Cruises,adjacent_non_endemic,local_event_only,travel_hospitality,Tourism-style local event partner.
sponsor_project_climbing,Project Climbing,adjacent_scene_service,local_scene_spender,coaching_performance,Climbing service business with likely coaching or skills fit.
sponsor_little_sammys,Little Sammys,adjacent_non_endemic,local_event_only,food_beverage,Local event support only.
sponsor_rocktape,Rocktape,adjacent_scene_service,proven_scene_spender,recovery_wellness,Recovery product with credible climber crossover.
sponsor_iris_boulders,Iris Boulders,scene_operator,local_scene_spender,gym_operator,Venue node with local scene importance.
sponsor_jibberjab_digital,Jibberjab Digital,adjacent_non_endemic,local_event_only,creative_service,Agency-style support signal not core to sponsor thesis.
sponsor_climbing_rocks,Climbing Rocks,climbing_native,local_scene_spender,retail_infrastructure,Climbing retailer signal worth keeping in map.
sponsor_scarpa_australia,Scarpa Australia,climbing_native,proven_scene_spender,activation_brand,Strong activation and demo-night evidence.
