priority_rank,normalized_name,lane,newsletter_fit_score,scene_signal_score,contact_path_type,best_au_contact_path,contact_email,priority_tier,why_now,next_action
1,La Sportiva Australia,activation_brand,5,5,distributor,Intertrek,sales@intertrek.com.au,A,Six-stop 2026 tour proves active scene spend and nationwide gym interest,Use Intertrek as the working AU route and draft activation-led pitch
2,Scarpa Australia,activation_brand,5,4,official_brand_contact,Official global brand contact form,,A,Repeated event and demo-night presence with obvious category fit,Use official SCARPA contact first and keep Mont plus Sticky Rubber as Australia-facing fallback paths
3,Black Diamond,activation_brand,5,4,distributor,Sea to Summit Distribution,info@blackdiamondequipment.com.au,A,High trust category leader with repeat event and strong media familiarity,Use Sea to Summit distribution route for the first contact pass
4,Sticky Rubber Resoles,service_provider,5,4,direct_service,Direct service contact,info@stickyrubberresoles.com,A,Strongest repair-service brand with official authorisations and store drop-offs,Pitch evergreen service sponsorship and care-content series
5,Climbing Resoles,service_provider,5,4,direct_service,Direct service contact,climbingresolesaustralia@gmail.com,A,National agent-partner model fits newsletter utility and offers model,Pitch recurring sponsor slot and national partner-directory angle
6,Climbit Physio,service_provider,5,3,direct_service,Direct business contact,,A,Excellent editorial fit for injury prevention and performance,Find founder or practitioner contact and pitch content-backed sponsorship
7,Awesome Woodys,training_brand,5,3,direct_brand,Direct brand contact,info@awesomewoodys.com,A,Australian training brand with strong giveaway and editorial fit,Pitch training-content sponsorship and gear giveaway
8,Rhino Skin Solutions,recovery_brand,5,3,direct_brand,Direct marketing and sponsorship contact,Justin@rhinoskinsolutions.com,A,Climbing-specific skin-care brand with direct sponsorship contact and strong recurring-use demand,Pitch direct brand first around skin care recovery and event support
9,Climbskin,recovery_brand,4,2,direct_brand,Direct brand contact,info@climb-skin.com,A,Hand-care and recovery is a strong recurring-use category for committed climbers,Pitch direct brand first and keep Wild Earth as AU backup path
10,Unparallel,shoe_brand,4,3,distributor,Friction Addiction,sales@frictionaddiction.com.au,A,High-fit performance shoe brand with strong local route through a climbing-native distributor,Approach via Friction Addiction first
11,Ocun,gear_brand,4,3,distributor,ALS Trade,info@alstrade.com.au,A,Climbing-native brand with clear AU distributor route and strong gear fit,Approach via ALS Trade first
12,Evolv,shoe_brand,4,2,distributor,STS Distributed Brands,,A,Clear Australian retail presence and now a visible distributor pathway,Use STS Distributed Brands as the working AU route
13,Tenaya,shoe_brand,4,2,direct_brand,Tenaya global contact,tenaya@tenaya.net,A,Performance shoe category maps very well to indoor and project-focused content,Use direct brand contact and keep AU retailers as backup paths
14,Lattice Training,training_brand,4,3,direct_brand,Direct brand contact,contact@latticetraining.com,A,One of the strongest global climbing training brands with very strong indoor-performance relevance,Pitch training-content and performance-series partnership
15,Beastmaker,training_brand,4,2,retail_route,Mountain Equipment or Wall Toys,,A,Training content fits the newsletter audience well and the brand is category-native,Find direct brand or AU rep
16,Crux Gear,training_brand,4,2,direct_brand,Direct brand contact,,A,Australian climber-founded and strong niche fit,Find founder contact and pitch homegrown brand partnership
17,Redpoint Climbing,consumer_brand,4,2,direct_brand,Direct brand contact,support@redpointclimbing.com.au,A,Australian climbing brand with direct consumer and stockist relevance,Pitch local-brand partnership and gear placement
18,Friction Labs,consumables_brand,4,3,official_brand_contact,Official contact form,,B,Premium chalk and hand-care brand with clear Australian specialist retail presence,Use brand contact form and specialist stockists as validation
19,Chalk Cartel,consumables_brand,4,3,official_brand_contact,Official brand contact form,,B,Climber-led chalk brand explicitly welcomes dealer athlete and event support enquiries,Pitch chalk category sponsorship and community support angle
20,Reset,consumables_brand,4,3,distributor,Australian distributor,sales@frictionaddiction.com.au,B,Australian climbing-native accessories and chalk brand with clear distributor path,Approach through Friction Addiction first
21,Paddy Pallin,specialist_retailer,5,5,direct_retailer,Direct retailer contact,,B,Strongest repeat commercial event-support signal in the current dataset,Find buyer or marketing lead and pitch retailer-offer plus audience reach
22,Climbing Anchors,specialist_retailer,5,4,direct_retailer_or_wholesale,Direct retailer or wholesale contact,sales@climbinganchors.com,B,Specialist retailer with wholesale reach and repeated scene presence,Find decision-maker and pitch retailer plus brand-intro partnership
