host_id,crm_entity_id,host_name,host_type,host_level,state_scope,city_or_region,website,event_page_url,news_or_blog_url,instagram_handle,facebook_url,ticketing_hint,priority_tier,comp_likelihood,gym_crm_overlap,status,notes,market_tier,influence_score,footprint_signal,social_reach_signal,event_activity_signal,scene_centrality_signal,influence_notes
host_sca,,Sport Climbing Australia,association,association,National,Australia,https://sportclimbingaustralia.com.au/,,,sportclimbingaustralia,,Humanitix/Event pages,A,High,No,seeded,National body; likely source for national titles and sanctioned events,national,5,5,4,5,5,National sanctioning body with the strongest event and governance centrality in the country.
host_scq,,Sport Climbing Queensland,association,association,QLD,Queensland,https://sportclimbingqueensland.com/,,,sportclimbingqueensland,,Humanitix/Event pages,A,High,No,seeded,State body; strong event and partner signal source,statewide,4,3,3,5,5,Queensland-wide governing body with strong event and partner visibility.
host_scwa,,Sport Climbing WA,association,association,WA,Western Australia,https://www.sportclimbingwa.com.au/,,,sportclimbingwa,,Humanitix/Event pages,A,High,No,seeded,State body; event and sponsor source,statewide,4,3,3,4,5,WA-wide association that should surface statewide comps and partner relationships.
host_scv,,Sport Climbing Victoria,association,association,VIC,Victoria,https://sportclimbingvictoria.org.au/,,,sportclimbingvictoria,,Humanitix/Event pages,A,High,No,seeded,State body; likely state titles and grassroots comps,statewide,5,3,4,5,5,Victorian governing body with very high relevance for titles and metro event discovery.
host_scnsw,,Sport Climbing NSW,association,association,NSW,New South Wales,https://www.sportclimbingnsw.org.au/,,,sportclimbingnsw,,Humanitix/Event pages,A,High,No,seeded,State body for NSW event discovery,statewide,4,3,3,5,5,NSW-wide association likely to connect multiple Sydney and regional hosts.
host_scsa,,Sport Climbing South Australia,association,association,SA,South Australia,https://sportclimbingsa.org.au/,,,sportclimbingsa,,Humanitix/Event pages,A,High,No,seeded,State body for SA event discovery,statewide,4,3,3,4,5,Statewide body with strong Adelaide event relevance and sponsor adjacency.
host_scact,,Sport Climbing ACT,association,association,ACT,Canberra,https://sportclimbingact.org/,,,sportclimbingact,,Event pages,A,Medium,No,seeded,ACT association and venue reference,statewide,3,2,2,3,4,Small-territory governing body but central to Canberra scene coverage.
host_climbingqts,,ClimbingQTs,community_org,association,QLD,Queensland,https://climbingqts.com.au/,,,climbingqts,,Community pages,B,Medium,No,seeded,Community org with supporter network and event adjacency,statewide,3,2,3,3,4,Community layer with useful Queensland supporter and partner signals.
host_urban_climb,,Urban Climb,gym_operator,operator,Multi-state,Melbourne/Brisbane/Adelaide/Townsville,https://urbanclimb.com.au/,https://urbanclimb.com.au/events/,https://urbanclimb.com.au/blog/,urbanclimbau,,Eventbrite/Humanitix,A,High,Yes,seeded,Major chain with recurring events and member comps,national,5,5,5,4,5,Multi-state operator with very strong brand reach and recurring event value across several markets.
host_9_degrees,,9 Degrees,gym_operator,operator,NSW|QLD,Sydney/Brisbane,https://www.9degrees.com.au/,https://www.9degrees.com.au/brisbaneevents,,9degreesbouldering,,Website event pages,A,High,Yes,seeded,Known comp/event host,national,4,4,4,5,4,Cross-state operator with strong comp history and good sponsor discovery potential.
host_9_degrees_alexandria,,9 Degrees Alexandria,gym_operator,venue,NSW,Sydney,https://www.9degrees.com.au/locations,,,9degreesbouldering,,Official locations page,A,High,Yes,seeded,Sydney venue listed on the official 9 Degrees locations page,major_metro,4,3,4,4,4,High-value inner Sydney venue within a very active comp and social operator.
