sponsor_entity_id,normalized_name,best_au_contact_path,contact_path_owner,contact_path_type,contact_email,confidence,next_best_path,notes
sponsor_la_sportiva_australia,La Sportiva Australia,Australian distributor,Intertrek,distributor,sales@intertrek.com.au,high,Key retailer path via K2 Base Camp,Intertrek publicly lists La Sportiva and provides direct distributor contact details.
sponsor_scarpa_australia,Scarpa Australia,Official global brand contact form,SCARPA,official_brand_contact,,medium,Australia-facing fallback via Mont Adventure Equipment plus Sticky Rubber or Climbing Anchors,Strong activation signal but no confirmed Australian distributor contact has been surfaced yet from current sources; Mont is a strong Australian retail node and Sticky Rubber is SCARPA's official resoler in Australia.
sponsor_black_diamond,Black Diamond,Exclusive Australian distributor,Sea to Summit Distribution,distributor,info@blackdiamondequipment.com.au,high,Retail validation through Climbing Anchors or Mountain Equipment,Black Diamond Australia's terms and shipping pages state the website is operated by Sea to Summit as exclusive Australian distributor.
sponsor_sticky_rubber_resoles,Sticky Rubber Resoles,Direct service contact,Sticky Rubber Resoles,direct_service,info@stickyrubberresoles.com,high,Store partner path via Summit Gear or K2 Base Camp,Direct operator route is already clear.
sponsor_climbing_resoles,Climbing Resoles,Direct service contact,Climbing Resoles,direct_service,climbingresolesaustralia@gmail.com,high,Retail partner path via Mountain Equipment,Direct operator route is already clear.
sponsor_climbit_physio,Climbit Physio,Direct business contact,Climbit Physio,direct_service,,medium,Practitioner or founder lookup,Strong fit but named contact still needs confirmation.
sponsor_awesome_woodys,Awesome Woodys,Direct brand contact,Awesome Woodys,direct_brand,info@awesomewoodys.com,high,Retail validation through Climbing Anchors or Wild Earth,Clear direct route.
sponsor_climbskin,Climbskin,Direct brand contact,Climbskin,direct_brand,info@climb-skin.com,high,Australian retail route via Wild Earth or Climbing Anchors,Direct brand email is public while Australian retail presence remains useful as backup.
sponsor_unparallel,Unparallel,Australian distributor,Friction Addiction,distributor,sales@frictionaddiction.com.au,high,Direct brand lookup,Best practical AU route appears to be the regional distributor.
sponsor_ocun,Ocun,Australian distributor,ALS Trade,distributor,info@alstrade.com.au,high,Direct brand lookup,Best practical AU route appears to be the distributor.
sponsor_evolv,Evolv,Australian distributor,STS Distributed Brands,distributor,,high,Official international contact form at Evolv,STS Distributed Brands maintains a dedicated Evolv Australia brand page which is the strongest current local route.
sponsor_tenaya,Tenaya,Direct global brand contact,Tenaya,direct_brand,tenaya@tenaya.net,medium,Australian retail route via Wild Earth or Climbing Anchors,Direct global contact is public but no confirmed Australian distributor path has been surfaced yet.
sponsor_beastmaker,Beastmaker,Australian retail route,Mountain Equipment or Wall Toys,retail_route,,medium,Direct brand lookup,Best current AU route is retailer-led.
