lead_id,entity_name,lead_type,market_scope,source_url,contact_email,contact_phone,brands_or_lines_seen,why_relevant,next_action
lead_climbing_anchors,Climbing Anchors,retailer_and_wholesale,NSW|VIC|National,https://www.climbinganchors.com.au/wholesale,sales@climbinganchors.com,"(02) 9052 6432","Wholesale supply to Australian retail stores and gyms; retail brand menu includes Awesome Woodys|Black Diamond|Butora|C.A.M.P.|Beal|Beastmaker|BlueWater",Direct climbing specialist with both retail and wholesale reach; could buy newsletter inventory directly and also point to exclusive or high-volume brand partners,Confirm which brands they distribute exclusively in Australia and add named brand-to-distributor links
lead_k2_base_camp,K2 Base Camp,retailer,QLD|National,https://k2.com.au/pages/contact-us,info@k2.com.au,"07 3854 1340","Stocks La Sportiva; site positions K2 as Queensland's premier outdoor retailer with the largest range of climbing equipment in Queensland",Direct sponsor prospect and strong retailer competitor benchmark; likely useful for both ad spend and brand intro paths,Map their core climbing brand set and prioritize climbing-first brands rather than general outdoor
lead_wild_earth,Wild Earth,retailer,QLD|National,https://www.wildearth.com.au/view/contact-us,service@wildearth.com.au,"1800 841 847","Stocks climbing brands including Ocun|Wild Country|Evolv|C.A.M.P.|Tenaya|Metolius|BlueWater|8BPLUS|Awesome Woodys|Crux Gear|Climbskin",Large national outdoor retailer with broad climbing catalog and strong potential as both sponsor and brand-discovery hub,Use Wild Earth brand pages to build a longer list of Australia-available climbing brands and contact paths
lead_mountain_equipment,Mountain Equipment,retailer,NSW|National,https://mountainequipment.com/pages/contact,web@mountainequipment.com,"02 9264 5888","Sydney climbing and outdoor specialist; public site highlights climbing focus and stocks climbing-specific training and chalk brands such as Club Strong and The Agent",Direct sponsor prospect and useful Sydney retailer competitor for Climbing Anchors,Pull their climbing brand pages next to identify additional AU-stocked brands with strong gym relevance
lead_friction_addiction,Friction Addiction,distributor_and_industry_supplier,TAS|National|NZ|Oceania,https://www.frictionaddiction.com.au/,sales@frictionaddiction.com.au,"+61 407 177 940","Distributes 23 Holds|Axis|Bleaustone|Blok Holds|Captain Crux|Griptonite|Lapis|Motherboard|Nature Climbing|Playstone|Polytalon|Reset|Rockcity|Ropless|Squadra|T-Wall|Unparallel|Wideboyz|X-Cult|Bloc Matting",High-value B2B supplier route into gyms setters and hold/shoe brands; excellent for finding sponsors beyond consumer retail,Split out top brands like Unparallel and Reset as individual sponsor or partner prospects
lead_als_trade,ALS Trade,distributor,VIC|National,https://www.alstrade.com.au/contact.html,info@alstrade.com.au,"+61 2 807 305 80","Distributes Singing Rock Professional|Singing Rock Sport|Ocun Professional|Ocun Sport and describes itself as distributing leading European rope access and climbing brands in Australia",One distributor contact can unlock multiple brand conversations and reveals which European brands have active Australian market infrastructure,Add Ocun and Singing Rock as direct brand prospects with ALS Trade as AU route
lead_oasis_proshop,Oasis Climbing ProShop,gym_proshop,WA,https://www.oasisclimbing.com.au/proshop,,,"Stocks Scarpa|Butora|Black Diamond|Wild Country|Petzl|DMM|Beal|Tendon|Edelrid|Rhino|Reset|8B+|Metolius|Chalktapus|Friction Labs",Useful WA competitor and proof-point for which brands are broadly available in Australian gym pro shops,Use as a cross-check source when deciding which brands are common enough to likely want scene-wide reach
lead_ocun_via_als,Ocun,brand_with_known_au_distributor,Australia,https://www.alstrade.com.au/ocun-sport.html,info@alstrade.com.au,"+61 2 807 305 80","Ocun Sport distributed by ALS Trade in Australia",Strong climbing-native brand with a clearly visible Australian route to market,Add direct Ocun prospect row later with ALS Trade as distributor path
lead_singing_rock_via_als,Singing Rock,brand_with_known_au_distributor,Australia,https://www.alstrade.com.au/,info@alstrade.com.au,"+61 2 807 305 80","Singing Rock Sport distributed by ALS Trade in Australia",Relevant especially for rope-access and hardware crossover plus gym infrastructure,Assess whether sport-climbing line is a realistic newsletter fit versus more industrial focus
lead_unparallel_via_friction,Unparallel,brand_with_known_au_distributor,Australia|NZ|Oceania,https://www.frictionaddiction.com.au/,sales@frictionaddiction.com.au,"+61 407 177 940","Unparallel listed among Friction Addiction distributed brands",High-fit climbing shoe brand with visible regional distributor,Add direct Unparallel prospect row later with Friction Addiction as distributor path
